,City,Province,Population,Area,Density,Income,URL,Latitude,Longitude
0,Aa en Hunze,Drenthe,25319,276.35,91.2,13400,https://nl.wikipedia.org/wiki/Aa_en_Hunze,53.0,6.75
1,Aalburg,Noord-Brabant,13191,50.4,257.5,12500,https://nl.wikipedia.org/wiki/Aalburg,51.7525,5.1319444444444
2,Aalsmeer,Noord-Holland,31584,20.58,1512.7,14700,https://nl.wikipedia.org/wiki/Aalsmeer,52.263888888889,4.7625
3,Aalten,Gelderland,26943,96.57,278.7,11900,https://nl.wikipedia.org/wiki/Aalten_(gemeente),51.925,6.5808333333333
4,Achtkarspelen,Friesland,27897,102.61,272.7,11400,https://nl.wikipedia.org/wiki/Achtkarspelen,53.216666666667,6.1333333333333
5,Alblasserdam,Zuid-Holland,20029,8.78,2261.6,12300,https://nl.wikipedia.org/wiki/Alblasserdam,51.865833333333,4.6608333333333
6,Albrandswaard,Zuid-Holland,25259,22.18,1128.6,15100,https://nl.wikipedia.org/wiki/Albrandswaard,51.856666666667,4.4038888888889
7,Alkmaar,Noord-Holland,108596,81.42,1316.3,13300,https://nl.wikipedia.org/wiki/Alkmaar_(gemeente),52.616666666667,4.7666666666667
8,Almelo,Overijssel,72816,67.43,1072.2,11900,https://nl.wikipedia.org/wiki/Almelo,52.366666666667,6.6666666666667
9,Almere,Flevoland,205220,130.47,1512.4,12500,https://nl.wikipedia.org/wiki/Almere,52.371666666667,5.2208333333333
10,Alphen aan den Rijn,Zuid-Holland,110315,126.58,848.8,14000,https://nl.wikipedia.org/wiki/Alphen_aan_den_Rijn_(gemeente),52.133611111111,4.6591666666667
11,Alphen-Chaam,Noord-Brabant,10106,93.18,105.0,13800,https://nl.wikipedia.org/wiki/Alphen-Chaam,51.499166666667,4.8722222222222
12,Ameland,Friesland,3655,60.02,59.9,11700,https://nl.wikipedia.org/wiki/Ameland_(hoofdbetekenis),53.450277777778,5.7536111111111
13,Amersfoort,Utrecht,155614,62.88,2429.3,13900,https://nl.wikipedia.org/wiki/Amersfoort_(hoofdbetekenis),52.156388888889,5.3897222222222
14,Amstelveen,Noord-Holland,90118,41.56,2101.5,16200,https://nl.wikipedia.org/wiki/Amstelveen,52.301944444444,4.8580555555556
15,Amsterdam,Noord-Holland,859732,165.34,4990.2,13900,https://nl.wikipedia.org/wiki/Amsterdam_(gemeente),52.363022222222,4.88205
16,Apeldoorn,Gelderland,161569,339.96,465.4,13400,https://nl.wikipedia.org/wiki/Apeldoorn_(gemeente),52.216666666667,5.95
17,Appingedam,Groningen,11777,23.84,501.6,12200,https://nl.wikipedia.org/wiki/Appingedam,53.316666666667,6.8666666666667
18,Arnhem,Gelderland,157660,98.25,1552.2,12800,https://nl.wikipedia.org/wiki/Arnhem,51.983333333333,5.9166666666667
19,Assen,Drenthe,67776,82.09,817.8,12600,https://nl.wikipedia.org/wiki/Assen,52.993611111111,6.5597222222222
20,Asten,Noord-Brabant,16693,70.34,235.9,12900,https://nl.wikipedia.org/wiki/Asten_(gemeente),51.403055555556,5.7472222222222
21,Baarle-Nassau,Noord-Brabant,6836,76.27,86.3,12900,https://nl.wikipedia.org/wiki/Baarle-Nassau,51.445277777778,4.9305555555556
22,Baarn,Utrecht,24608,32.56,750.6,15100,https://nl.wikipedia.org/wiki/Baarn,52.2125,5.2861111111111
23,Barendrecht,Zuid-Holland,48489,20.27,2346.6,14400,https://nl.wikipedia.org/wiki/Barendrecht,51.853055555556,4.5411111111111
24,Barneveld,Gelderland,57563,176.02,311.4,12200,https://nl.wikipedia.org/wiki/Barneveld_(gemeente),52.133333333333,5.5833333333333
25,Bedum,Groningen,10438,44.58,234.4,12200,https://nl.wikipedia.org/wiki/Bedum_(gemeente),53.283333333333,6.5833333333333
26,Beek,Limburg,15939,21.0,769.2,13400,https://nl.wikipedia.org/wiki/Beek_(gemeente),50.939444444444,5.7961111111111
27,Beemster,Noord-Holland,9702,70.54,126.4,14600,https://nl.wikipedia.org/wiki/Beemster,52.55,4.9277777777778
28,Beesel,Limburg,13478,28.32,476.3,12600,https://nl.wikipedia.org/wiki/Beesel_(gemeente),51.266944444444,6.0391666666667
29,Berg en Dal,Gelderland,34653,44.12,776.2,12800,https://nl.wikipedia.org/wiki/Berg_en_Dal_(gemeente),51.829166666667,5.9258333333333
30,Bergeijk,Noord-Brabant,18399,101.04,180.0,13400,https://nl.wikipedia.org/wiki/Bergeijk_(gemeente),51.320277777778,5.3591666666667
31,"Bergen (Limburg, gemeente)",Limburg,13104,105.25,124.8,11800,"https://nl.wikipedia.org/wiki/Bergen_(Limburg,_gemeente)",51.599166666667,6.0336111111111
32,Bergen (Noord-Holland),Noord-Holland,29904,97.17,307.5,15500,https://nl.wikipedia.org/wiki/Bergen_(Noord-Holland),52.670344444444,4.7054111111111
33,Bergen op Zoom,Noord-Brabant,66426,80.76,820.6,12800,https://nl.wikipedia.org/wiki/Bergen_op_Zoom_(gemeente),51.5,4.3
34,Berkelland,Gelderland,43999,258.72,171.3,12400,https://nl.wikipedia.org/wiki/Berkelland,52.116666666667,6.5166666666667
35,Bernheze,Noord-Brabant,30638,89.77,330.8,13200,https://nl.wikipedia.org/wiki/Bernheze,51.693055555556,5.5252777777778
36,Best,Noord-Brabant,29570,34.28,840.3,13700,https://nl.wikipedia.org/wiki/Best,51.510833333333,5.3922222222222
37,Beuningen (Gelderland),Gelderland,25833,43.86,575.9,13100,https://nl.wikipedia.org/wiki/Beuningen_(Gelderland),51.85,5.75
38,Beverwijk,Noord-Holland,41075,18.57,2163.8,13300,https://nl.wikipedia.org/wiki/Beverwijk,52.486388888889,4.6563888888889
39,De Bilt,Utrecht,42775,66.33,636.5,16700,https://nl.wikipedia.org/wiki/De_Bilt_(gemeente),52.111944444444,5.1825
40,Binnenmaas,Zuid-Holland,29262,50.34,568.3,14600,https://nl.wikipedia.org/wiki/Binnenmaas,51.809166666667,4.5080555555556
41,Bladel,Noord-Brabant,20140,75.42,263.6,13000,https://nl.wikipedia.org/wiki/Bladel_(gemeente),51.366666666667,5.2166666666667
42,Blaricum,Noord-Holland,11093,11.13,840.3,21500,https://nl.wikipedia.org/wiki/Blaricum,52.272777777778,5.2422222222222
43,Bloemendaal (Noord-Holland),Noord-Holland,23273,37.93,584.8,22400,https://nl.wikipedia.org/wiki/Bloemendaal_(Noord-Holland),52.402777777778,4.6280555555556
44,Bonaire,Geen,15414,288.0,53.5,,https://nl.wikipedia.org/wiki/Bonaire,12.185277777778,-68.261944444444
45,Bodegraven-Reeuwijk,Zuid-Holland,34076,37.48,887.7,13500,https://nl.wikipedia.org/wiki/Bodegraven-Reeuwijk,52.061777777778,4.7268666666667
46,Boekel,Noord-Brabant,10543,34.51,295.2,12200,https://nl.wikipedia.org/wiki/Boekel_(gemeente),51.601111111111,5.6741666666667
47,Ten Boer,Groningen,7275,45.25,164.8,12100,https://nl.wikipedia.org/wiki/Ten_Boer,53.266666666667,6.6833333333333
48,Borger-Odoorn,Drenthe,25309,275.18,92.6,12200,https://nl.wikipedia.org/wiki/Borger-Odoorn,52.866666666667,6.85
49,Borne (Overijssel),Overijssel,23186,26.0,852.5,13100,https://nl.wikipedia.org/wiki/Borne_(Overijssel),52.3,6.75
50,Borsele,Zeeland,22799,142.03,158.8,12600,https://nl.wikipedia.org/wiki/Borsele_(gemeente),51.426111111111,3.8216666666667
51,Boxmeer,Noord-Brabant,28941,111.56,255.1,13300,https://nl.wikipedia.org/wiki/Boxmeer_(gemeente),51.648333333333,5.9444444444444
52,Boxtel,Noord-Brabant,30621,63.7,475.8,13200,https://nl.wikipedia.org/wiki/Boxtel_(gemeente),51.591111111111,5.3275
53,Breda,Noord-Brabant,183851,126.87,1432.8,13800,https://nl.wikipedia.org/wiki/Breda_(gemeente),51.5875,4.775
54,Brielle,Zuid-Holland,17107,27.49,602.3,14600,https://nl.wikipedia.org/wiki/Brielle,51.903055555556,4.1638888888889
55,Bronckhorst,Gelderland,36281,283.63,129.2,13400,https://nl.wikipedia.org/wiki/Bronckhorst_(hoofdbetekenis),52.05,6.3
56,Brummen,Gelderland,20747,84.01,249.4,13400,https://nl.wikipedia.org/wiki/Brummen_(gemeente),52.1,6.1
57,Brunssum,Limburg,28209,17.17,1664.4,12000,https://nl.wikipedia.org/wiki/Brunssum,50.949166666667,5.97
58,Bunnik,Utrecht,15185,36.95,396.6,15900,https://nl.wikipedia.org/wiki/Bunnik_(gemeente),52.067222222222,5.1969444444444
59,Bunschoten,Utrecht,21437,30.5,677.5,12400,https://nl.wikipedia.org/wiki/Bunschoten,52.248055555556,5.3736111111111
60,Buren,Gelderland,26431,134.66,194.4,13400,https://nl.wikipedia.org/wiki/Buren_(gemeente),51.910555555556,5.3333333333333
61,Capelle aan den IJssel,Zuid-Holland,66992,14.3,4642.6,13900,https://nl.wikipedia.org/wiki/Capelle_aan_den_IJssel,51.93,4.59
62,Castricum,Noord-Holland,35627,49.5,693.9,15000,https://nl.wikipedia.org/wiki/Castricum,52.551666666667,4.6583333333333
63,Coevorden,Drenthe,35266,296.68,119.7,12300,https://nl.wikipedia.org/wiki/Coevorden,52.65,6.7333333333333
64,Cranendonck,Noord-Brabant,20320,76.79,266.8,13300,https://nl.wikipedia.org/wiki/Cranendonck,51.285277777778,5.5880555555556
65,Cromstrijen,Zuid-Holland,12834,54.37,235.0,14300,https://nl.wikipedia.org/wiki/Cromstrijen,51.746666666667,4.4461111111111
66,Cuijk,Noord-Brabant,24876,52.5,469.3,12500,https://nl.wikipedia.org/wiki/Cuijk_(gemeente),51.726944444444,5.8794444444444
67,Culemborg,Gelderland,28323,29.58,930.4,13400,https://nl.wikipedia.org/wiki/Culemborg,51.95,5.2333333333333
68,Dalfsen,Overijssel,28329,165.18,168.1,12700,https://nl.wikipedia.org/wiki/Dalfsen_(gemeente),52.506388888889,6.2605555555556
69,Dantumadeel,Friesland,18941,85.78,221.7,11100,https://nl.wikipedia.org/wiki/Dantumadeel,53.28,5.9830555555556
70,De Friese Meren,Friesland,51601,356.43,143.8,12334,https://nl.wikipedia.org/wiki/De_Friese_Meren,52.925,5.6833333333333
71,Delft,Zuid-Holland,102230,23.21,4352.5,13000,https://nl.wikipedia.org/wiki/Delft,52.011111111111,4.3575
72,Delfzijl,Groningen,24759,132.47,191.4,12100,https://nl.wikipedia.org/wiki/Delfzijl,53.333333333333,6.9166666666667
73,Den Haag,Zuid-Holland,534158,82.66,6231.3,13400,https://nl.wikipedia.org/wiki/Den_Haag,52.095555555556,4.3163888888889
74,Deurne (Nederlandse gemeente),Noord-Brabant,32177,119.02,266.9,12800,https://nl.wikipedia.org/wiki/Deurne_(Nederlandse_gemeente),51.463888888889,5.7947222222222
75,Deventer,Overijssel,99630,131.31,750.9,12500,https://nl.wikipedia.org/wiki/Deventer_(gemeente),52.25,6.15
76,Diemen,Noord-Holland,28654,11.99,2225.8,14100,https://nl.wikipedia.org/wiki/Diemen,52.343888888889,4.9625
77,Dinkelland,Overijssel,26305,175.78,147.6,12400,https://nl.wikipedia.org/wiki/Dinkelland,52.366666666667,7.0
78,Doesburg,Gelderland,11283,11.64,978.6,12600,https://nl.wikipedia.org/wiki/Doesburg,52.016666666667,6.1333333333333
79,Doetinchem,Gelderland,57392,79.14,714.4,12700,https://nl.wikipedia.org/wiki/Doetinchem_(gemeente),51.966666666667,6.2833333333333
80,Dongen,Noord-Brabant,25853,29.34,863.9,12900,https://nl.wikipedia.org/wiki/Dongen_(gemeente),51.625833333333,4.9433333333333
81,Dongeradeel,Friesland,23791,167.27,143.2,11400,https://nl.wikipedia.org/wiki/Dongeradeel,53.360386111111,6.0452277777778
82,Dordrecht,Zuid-Holland,118307,79.53,1496.4,12900,https://nl.wikipedia.org/wiki/Dordrecht,51.8,4.6666666666667
83,Drechterland,Noord-Holland,19426,59.17,326.4,13800,https://nl.wikipedia.org/wiki/Drechterland_(gemeente),52.695,5.1752777777778
84,Drimmelen,Noord-Brabant,27073,96.24,277.5,13700,https://nl.wikipedia.org/wiki/Drimmelen_(gemeente),51.694444444444,4.7972222222222
85,Dronten,Flevoland,40687,334.35,121.1,12200,https://nl.wikipedia.org/wiki/Dronten,52.522222222222,5.7183333333333
86,Druten,Gelderland,18788,38.02,481.0,12600,https://nl.wikipedia.org/wiki/Druten,51.888888888889,5.6044444444444
87,Duiven,Gelderland,25393,34.06,747.7,12600,https://nl.wikipedia.org/wiki/Duiven_(gemeente),51.947222222222,6.0211111111111
88,Echt-Susteren,Limburg,31681,103.2,310.1,12700,https://nl.wikipedia.org/wiki/Echt-Susteren,51.083333333333,5.8666666666667
89,Edam-Volendam,Noord-Holland,36010,16.31,1783.9,13900,https://nl.wikipedia.org/wiki/Edam-Volendam,52.501944444444,5.0613888888889
90,Ede,Gelderland,114913,318.33,351.4,12900,https://nl.wikipedia.org/wiki/Ede_(gemeente),52.05,5.6666666666667
91,Eemnes,Utrecht,9093,31.03,283.6,14400,https://nl.wikipedia.org/wiki/Eemnes,52.253888888889,5.2572222222222
92,Eemsmond,Groningen,15520,189.63,83.2,11200,https://nl.wikipedia.org/wiki/Eemsmond,53.4,6.6666666666667
93,Eersel,Noord-Brabant,18886,82.44,223.0,13800,https://nl.wikipedia.org/wiki/Eersel_(gemeente),51.357222222222,5.3147222222222
94,Eijsden-Margraten,Limburg,25530,77.4,322.9,13300,https://nl.wikipedia.org/wiki/Eijsden-Margraten,50.791666666667,5.7561111111111
95,Eindhoven,Noord-Brabant,229637,87.75,2551.3,13400,https://nl.wikipedia.org/wiki/Eindhoven,51.435555555556,5.4805555555556
96,Elburg,Gelderland,23067,63.83,358.8,12100,https://nl.wikipedia.org/wiki/Elburg_(gemeente),52.45,5.85
97,Emmen,Drenthe,107167,337.48,319.1,11900,https://nl.wikipedia.org/wiki/Emmen_(gemeente),52.783333333333,6.8833333333333
