,City,Common Venue 1,Common Venue 2,Common Venue 3,Common Venue 4,Common Venue 5,Cluster label,Province,Population,Area,Density,Income,URL,FlagURL,Latitude,Longitude
0,'s-Hertogenbosch (gemeente),Bar,Café,Restaurant,Coffee Shop,Mediterranean Restaurant,0,Noord-Brabant,153434,84.63,1783.7,13900,https://nl.wikipedia.org/wiki/%27s-Hertogenbosch_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_%27s-Hertogenbosch.svg,51.689166666667,5.3030555555556
1,Aa en Hunze,Restaurant,Resort,Park,Diner,Hotel,3,Drenthe,25319,276.35,91.2,13400,https://nl.wikipedia.org/wiki/Aa_en_Hunze,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Aa_en_Hunze.svg,53.0,6.75
2,Aalburg,Restaurant,Diner,Supermarket,Ice Cream Shop,Café,2,Noord-Brabant,13191,50.4,257.5,12500,https://nl.wikipedia.org/wiki/Aalburg,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Aalburg.svg,51.7525,5.1319444444444
3,Aalsmeer,Harbor / Marina,Gym / Fitness Center,Supermarket,Restaurant,Athletics & Sports,4,Noord-Holland,31584,20.58,1512.7,14700,https://nl.wikipedia.org/wiki/Aalsmeer,https://nl.wikipedia.org/wiki/Bestand:Aalsmeer_flag.svg,52.263888888889,4.7625
4,Aalten (gemeente),Campground,Supermarket,Ice Cream Shop,Restaurant,Gym,3,Gelderland,26943,96.57,278.7,11900,https://nl.wikipedia.org/wiki/Aalten_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Aalten.svg,51.925,6.5808333333333
5,Achtkarspelen,Restaurant,Athletics & Sports,Volleyball Court,Bar,Gym,3,Friesland,27897,102.61,272.7,11400,https://nl.wikipedia.org/wiki/Achtkarspelen,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Achtkarspelen.svg,53.216666666667,6.1333333333333
6,Alblasserdam,Supermarket,Restaurant,Café,Park,Drugstore,4,Zuid-Holland,20029,8.78,2261.6,12300,https://nl.wikipedia.org/wiki/Alblasserdam,https://nl.wikipedia.org/wiki/Bestand:Alblasserdam_vlag.svg,51.865833333333,4.6608333333333
7,Albrandswaard,Restaurant,Supermarket,Café,Beach,Steakhouse,4,Zuid-Holland,25259,22.18,1128.6,15100,https://nl.wikipedia.org/wiki/Albrandswaard,https://nl.wikipedia.org/wiki/Bestand:Albrandswaard_flag.svg,51.856666666667,4.4038888888889
8,Alkmaar (gemeente),Restaurant,Coffee Shop,Café,Bistro,Fast Food Restaurant,4,Noord-Holland,108596,81.42,1316.3,13300,https://nl.wikipedia.org/wiki/Alkmaar_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Alkmaar_Flag.svg,52.616666666667,4.7666666666667
9,Almelo,Café,Supermarket,Shopping Mall,Gym / Fitness Center,Pub,4,Overijssel,72816,67.43,1072.2,11900,https://nl.wikipedia.org/wiki/Almelo,https://nl.wikipedia.org/wiki/Bestand:Almelo_flag_outline.svg,52.366666666667,6.6666666666667
10,Almere,Supermarket,Gym,Shopping Mall,Thrift / Vintage Store,Sporting Goods Shop,4,Flevoland,205220,130.47,1512.4,12500,https://nl.wikipedia.org/wiki/Almere,https://nl.wikipedia.org/wiki/Bestand:Almere_vlag.svg,52.371666666667,5.2208333333333
11,Alphen aan den Rijn (gemeente),Restaurant,Supermarket,Gym,Shopping Mall,Drugstore,4,Zuid-Holland,110315,126.58,848.8,14000,https://nl.wikipedia.org/wiki/Alphen_aan_den_Rijn_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Vlag_Alphen_aan_den_Rijn.svg,52.133611111111,4.6591666666667
12,Alphen-Chaam,Supermarket,French Restaurant,Café,Bar,Campground,4,Noord-Brabant,10106,93.18,105.0,13800,https://nl.wikipedia.org/wiki/Alphen-Chaam,https://nl.wikipedia.org/wiki/Bestand:Alphen-Chaam_vlag.svg,51.499166666667,4.8722222222222
13,Ameland (hoofdbetekenis),Restaurant,Café,Beach Bar,Beach,Bar,5,Friesland,3655,60.02,59.9,11700,https://nl.wikipedia.org/wiki/Ameland_(hoofdbetekenis),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Ameland.svg,53.450277777778,5.7536111111111
14,Amersfoort (hoofdbetekenis),Restaurant,Café,Snack Place,Ice Cream Shop,Coffee Shop,0,Utrecht,155614,62.88,2429.3,13900,https://nl.wikipedia.org/wiki/Amersfoort_(hoofdbetekenis),https://nl.wikipedia.org/wiki/Bestand:Amersfoort_flag_outline.svg,52.156388888889,5.3897222222222
15,Amstelveen,Hockey Field,Snack Place,Park,Japanese Restaurant,Bar,4,Noord-Holland,90118,41.56,2101.5,16200,https://nl.wikipedia.org/wiki/Amstelveen,https://nl.wikipedia.org/wiki/Bestand:Amstelveen_flag.svg,52.301944444444,4.8580555555556
16,Amsterdam (gemeente),Café,Art Museum,Coffee Shop,Restaurant,Sandwich Place,0,Noord-Holland,859732,165.34,4990.2,13900,https://nl.wikipedia.org/wiki/Amsterdam_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Amsterdam.svg,52.363022222222,4.88205
17,Apeldoorn (gemeente),Café,Park,Ice Cream Shop,French Restaurant,Coffee Shop,0,Gelderland,161569,339.96,465.4,13400,https://nl.wikipedia.org/wiki/Apeldoorn_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Apeldoorn_vlag.svg,52.216666666667,5.95
