,City,Venue,Venue ID,Venue Latitude,Venue Longitude,Venue Category
0,Aa en Hunze,Hof van Saksen,4be09a4f4c55b651217beab7,52.96639467046778,6.674497742784092,Resort
1,Aa en Hunze,Robin Hood Ribhouse,4b85585df964a5200b5831e3,52.9570879,6.788139999999999,Restaurant
2,Aa en Hunze,Zwembad | Hof van Saksen,4c3b2cb3d94dc9b63156ffe7,52.96523703327398,6.676055130266857,Pool
3,Aa en Hunze,Restaurant Hofsteenge,4bebf67ba9900f47505b1840,52.93539783988698,6.672965562319285,Café
4,Aa en Hunze,Hunebedcentrum,4c2f2541ac0ab71368b41b1e,52.93113,6.79733,History Museum
5,Aa en Hunze,Grand Café Saksen,4b09258ff964a5206b1423e3,52.965733138781566,6.67563034545447,Café
6,Aa en Hunze,IJssalon La Dolce,4d97223b97d06ea8cf61130b,52.92569155986092,6.789946543905809,Ice Cream Shop
7,Aa en Hunze,De Koningsherberg,4bc9fcc0a276eee1aa386202,53.042463603677774,6.698719602011034,Hotel
8,Aa en Hunze,Pannenkoek- en Speelboerderij De Deugniet,4c6440b7263fc928ad2ae891,52.92645590870206,6.789413276866826,Restaurant
9,Aa en Hunze,Herberg De Fazant,4d612b61b19fa14398cdfec8,53.04912039,6.6385033,Restaurant
10,Aa en Hunze,Super De Beer,4df469d918a88611c6c02e80,52.93829198023516,6.66584204649903,Convenience Store
11,Aa en Hunze,Speelparadijs Harrewar,4c3aeecb16cb2d7fe9fa01a9,52.96870444725012,6.673596124707973,Playground
12,Aa en Hunze,Gasterie De Wiemel,4db961ca0437609121008df0,52.97821469740154,6.79107334457668,Diner
13,Aa en Hunze,Boomkroonpad,4be55dc1d4f7c9b662492520,52.95061144067773,6.74574618535592,Park
14,Aa en Hunze,Roompot Vakanties Bospark Lunsbergen,4ede0dcd4fc6fb124d2169a3,52.93697767233544,6.7356812953948975,Resort
15,Aa en Hunze,Terras bommelhoes,4e19d857b0fb8567c679eaa8,52.93876340533595,6.66553238940892,Diner
16,Aa en Hunze,Jimm's,4e20782618a88345f040cff6,53.004209,6.763737,Restaurant
17,Aa en Hunze,De Gulle Boergondier,4e7b69c1b8f7e8cf4702e3ec,52.97132782403038,6.885700948162057,Restaurant
18,Aa en Hunze,Roompot Vakantiepark Hunzedal,4ba3ab0af964a520205238e3,52.92233144381844,6.805507647972843,Resort
19,Aa en Hunze,Eetcafe-Snackbar 't Hofje,4d8f41616174a0939bdcd9e3,52.98882007598877,6.644122,Fast Food Restaurant
20,Aa en Hunze,Bospark Lunsbergen Restaurant,503670b3e4b07cc1aafa2850,52.93147819875342,6.747129504770248,Diner
21,Aa en Hunze,'t Nije Hemelriek,4bebdb539ab3b71322ecb549,52.97334670375255,6.7551046897271,Lake
22,Aa en Hunze,Pannekoekenboerderij Brinkzicht,4bb87d99b35776b04ff2c801,53.03629,6.6641199,Creperie
23,Aa en Hunze,Hotel - Bieze Borger,4bcf68e30ffdce72af71b2c0,52.924755916507124,6.791120856487587,Hotel
24,Aa en Hunze,Playa del Hof van Saksen,4c3d8a217d00d13a435a3a50,52.965804065200416,6.674237251281738,Beach
25,Aa en Hunze,Landgoed De Berenkuil,4c0a694d340720a18e508693,52.938813268247905,6.664860407093268,Resort
26,Aa en Hunze,Klimpark Outdoor Grolloo,4da033bc5970b1f79c5c541e,52.93873677087263,6.682398347501974,Park
27,Aa en Hunze,Sporthal De Koel,4b76ededf964a5208e6b2ee3,52.92230989999999,6.7961155,Athletics & Sports
28,Aa en Hunze,Actioncenter,4d9b673e3a32a093eb169219,53.002491,6.75875642,Gym / Fitness Center
29,Aa en Hunze,Staatsbos Gasselte,4d86118e61676dcbfe5d97e4,52.987186913762685,6.728189312620435,Park
30,Aa en Hunze,Camping De Berken,4d60edcdb19fa1439ceefbc8,52.96418871557228,6.789575694450491,Campground
31,Aa en Hunze,Lentehof,4df1e95d22718759f81911f0,52.9240239,6.7365566,Campground
32,Aalburg,Jumbo,4c70b429b5a5236a7e515152,51.687143793513194,5.135605314946822,Supermarket
33,Aalburg,In Den Verdwaalde Kogel,4bcaee96b6c49c7469469191,51.73496862857112,5.13760052774943,Breakfast Spot
34,Aalburg,Jay's Biercafé,4e176bcd6284ea7246ee3f7c,51.69007981644214,5.066649886624484,Beer Bar
35,Aalburg,De Fuik,4d7b454aace96a318a354b91,51.77371675531595,5.137236640035624,Restaurant
36,Aalburg,Kasteel Ammersoyen,4bdf8531921d9521631e6932,51.752089380529995,5.2291658918002115,Castle
37,Aalburg,'t Heusdens Ijshuijs,4d8f48e93bfef04d39c6aa86,51.73458745153732,5.138568896126803,Ice Cream Shop
38,Aalburg,Theater De Leest,4beede46e24d20a1da817314,51.687458346362256,5.0703800181762,Theater
39,Aalburg,Café Havenzicht,4b811f0af964a520829730e3,51.73516043186389,5.1372675307164535,Bar
40,Aalburg,Brouwerij Kareltje,4c306c40a0ced13a4522126e,51.73384152564937,5.135937647066315,Brewery
41,Aalburg,De Pannekoekenbakker,4b8971d4f964a520e23632e3,51.73496698410691,5.137373433741437,Creperie
42,Aalburg,D'n Berepot Pannenkoekenhuis,4be5acb5910020a1c24bd314,51.69108347659407,5.179195128819917,Diner
43,Aalburg,RKDVC Sportpark,4db701ae0cb6729b6ac39d82,51.67404282433172,5.1411124821060525,Athletics & Sports
44,Aalburg,Grand Café de Arcade,4b7d7d90f964a520f6c12fe3,51.68632216919215,5.131194359491954,Restaurant
45,Aalburg,De kluis,4bd70edd6f649521ebd271ec,51.69514133073604,5.218875551524109,Gastropub
46,Aalburg,La Vittoria,4d971beb61a3a1cdacefab42,51.6905519344753,5.066340422327912,Ice Cream Shop
47,Aalburg,TV Ammerzoden,4d714062aa38721ea59ea225,51.750222,5.228729,Tennis Court
48,Aalburg,Eetcafé Kandinsky,4c266c6f136d20a1db56e561,51.69045,5.06686,Café
49,Aalburg,Cigo,4de63b51c65b98fadaf63b1b,51.75551900424081,5.130149640555754,Shop & Service
50,Aalburg,Brownies en Downies,55841c82498e60d28e67d460,51.69012451171875,5.066601276397705,Coffee Shop
51,Aalburg,'t Slot,4bf7cc1d8d30d13a7e84ff17,51.69055280228244,5.066599147603157,Café
52,Aalburg,Herovina,4e4fa08062e14b77e39e2791,51.828024690306776,5.131481762947765,Soccer Field
53,Aalburg,'t Bourgondisch Hof,4bd1e0af41b9ef3bbfcffce5,51.6837169,5.070901600000001,Restaurant
54,Aalburg,Watersportcentrum Legerstee,4c83d4c4d4e2370402437488,51.73979,5.15011,Sporting Goods Shop
55,Aalburg,Ribs & Dips,508ec2d3e4b014dc93595608,51.710269927978516,5.201325416564941,BBQ Joint
56,Aalburg,Het Hof van Bork,4e7489988998ed82a405e230,51.6938992672788,5.096895067842443,Restaurant
57,Aalburg,Winkelcentrum de Els,4b6bedc2f964a520eb1c2ce3,51.68909714717983,5.064706977980793,Shopping Mall
58,Aalburg,Eetcafé City,4b86a2c5f964a5207c9331e3,51.69004570552006,5.066688602185287,Restaurant
59,Aalburg,Plein 13,4cd9825515d8b60c1f7d6b0e,51.68600582656292,5.130822033575417,Bistro
60,Aalburg,Cafe-Restaurant Centraal,4d7cd9458f89224b6246ab26,51.73485829631547,5.137459488884704,Restaurant
61,Aalburg,'t Oude Veerhuis,4d5453736aaa59417029336f,51.74527282155492,5.221450758937747,Restaurant
62,Aalburg,De Vergulden Erpel,4bffe5d8ca1920a1df72ed81,51.693913280539206,5.086747001374643,Snack Place
63,Aalburg,van den Oord,516005f7498e357fdc95571d,51.75109948166038,5.225560833080269,Flower Shop
64,Aalburg,Eethuis Het Mussennest,4dab1da493a04642f08e3bc1,51.7486381708811,5.2246926994776075,Diner
65,Aalburg,ALDI,4bade8a4f964a520c0713be3,51.744282590315734,5.260920397649854,Supermarket
