,City,Common Venue 1,Common Venue 2,Common Venue 3,Common Venue 4,Common Venue 5,Cluster label,Province,Population,Area,Density,Income,URL,Latitude,Longitude
0,'s-Hertogenbosch,Supermarket,Café,Restaurant,Coffee Shop,Bar,4,Noord-Brabant,153434,84.63,1783.7,13900,https://nl.wikipedia.org/wiki/%27s-Hertogenbosch_(gemeente),51.689166666667,5.3030555555556
1,Aa en Hunze,Resort,Restaurant,Park,Supermarket,Pool,1,Drenthe,25319,276.35,91.2,13400,https://nl.wikipedia.org/wiki/Aa_en_Hunze,53.0,6.75
2,Aalburg,Restaurant,Grocery Store,Harbor / Marina,Supermarket,History Museum,3,Noord-Brabant,13191,50.4,257.5,12500,https://nl.wikipedia.org/wiki/Aalburg,51.7525,5.1319444444444
3,Aalsmeer,Harbor / Marina,French Restaurant,Snack Place,Bar,Restaurant,3,Noord-Holland,31584,20.58,1512.7,14700,https://nl.wikipedia.org/wiki/Aalsmeer,52.263888888889,4.7625
4,Aalten,Bar,German Restaurant,Diner,Supermarket,Pet Store,0,Gelderland,26943,96.57,278.7,11900,https://nl.wikipedia.org/wiki/Aalten_(gemeente),51.925,6.5808333333333
5,Achtkarspelen,Restaurant,Trail,Auto Workshop,History Museum,Athletics & Sports,3,Friesland,27897,102.61,272.7,11400,https://nl.wikipedia.org/wiki/Achtkarspelen,53.216666666667,6.1333333333333
6,Alblasserdam,French Restaurant,Shopping Mall,Harbor / Marina,Supermarket,Scenic Lookout,0,Zuid-Holland,20029,8.78,2261.6,12300,https://nl.wikipedia.org/wiki/Alblasserdam,51.865833333333,4.6608333333333
7,Albrandswaard,Supermarket,Restaurant,Park,Gym / Fitness Center,Creperie,5,Zuid-Holland,25259,22.18,1128.6,15100,https://nl.wikipedia.org/wiki/Albrandswaard,51.856666666667,4.4038888888889
8,Alkmaar,Coffee Shop,Restaurant,Fast Food Restaurant,Supermarket,Grocery Store,4,Noord-Holland,108596,81.42,1316.3,13300,https://nl.wikipedia.org/wiki/Alkmaar_(gemeente),52.616666666667,4.7666666666667
9,Almelo,Supermarket,Shopping Mall,Restaurant,Café,Gym / Fitness Center,1,Overijssel,72816,67.43,1072.2,11900,https://nl.wikipedia.org/wiki/Almelo,52.366666666667,6.6666666666667
10,Almere,Park,Supermarket,Ice Cream Shop,Restaurant,Italian Restaurant,1,Flevoland,205220,130.47,1512.4,12500,https://nl.wikipedia.org/wiki/Almere,52.371666666667,5.2208333333333
11,Alphen aan den Rijn,Supermarket,Garden Center,Bookstore,Gym,Sandwich Place,4,Zuid-Holland,110315,126.58,848.8,14000,https://nl.wikipedia.org/wiki/Alphen_aan_den_Rijn_(gemeente),52.133611111111,4.6591666666667
12,Alphen-Chaam,Campground,Golf Course,Bar,Athletics & Sports,Creperie,2,Noord-Brabant,10106,93.18,105.0,13800,https://nl.wikipedia.org/wiki/Alphen-Chaam,51.499166666667,4.8722222222222
13,Ameland,Restaurant,Café,Thai Restaurant,Seafood Restaurant,Lounge,5,Friesland,3655,60.02,59.9,11700,https://nl.wikipedia.org/wiki/Ameland_(hoofdbetekenis),53.450277777778,5.7536111111111
14,Amersfoort,Restaurant,Furniture / Home Store,Plaza,Hotel,Café,4,Utrecht,155614,62.88,2429.3,13900,https://nl.wikipedia.org/wiki/Amersfoort_(hoofdbetekenis),52.156388888889,5.3897222222222
15,Amstelveen,Restaurant,Park,Bar,Supermarket,Snack Place,1,Noord-Holland,90118,41.56,2101.5,16200,https://nl.wikipedia.org/wiki/Amstelveen,52.301944444444,4.8580555555556
16,Amsterdam,Coffee Shop,Café,Park,Bakery,Restaurant,4,Noord-Holland,859732,165.34,4990.2,13900,https://nl.wikipedia.org/wiki/Amsterdam_(gemeente),52.363022222222,4.88205
17,Apeldoorn,Restaurant,Café,Park,Coffee Shop,Ice Cream Shop,4,Gelderland,161569,339.96,465.4,13400,https://nl.wikipedia.org/wiki/Apeldoorn_(gemeente),52.216666666667,5.95
18,Appingedam,Supermarket,Shopping Mall,Steakhouse,Fast Food Restaurant,Construction & Landscaping,0,Groningen,11777,23.84,501.6,12200,https://nl.wikipedia.org/wiki/Appingedam,53.316666666667,6.8666666666667
19,Arnhem,Coffee Shop,Restaurant,Café,Park,Supermarket,4,Gelderland,157660,98.25,1552.2,12800,https://nl.wikipedia.org/wiki/Arnhem,51.983333333333,5.9166666666667
20,Assen,Hotel,Shopping Mall,Ice Cream Shop,Supermarket,Coffee Shop,1,Drenthe,67776,82.09,817.8,12600,https://nl.wikipedia.org/wiki/Assen,52.993611111111,6.5597222222222
21,Asten,Golf Course,Resort,Museum,Friterie,Bakery,0,Noord-Brabant,16693,70.34,235.9,12900,https://nl.wikipedia.org/wiki/Asten_(gemeente),51.403055555556,5.7472222222222
